session,data_origin,signal_scenario,encounter_pattern,baseline_avg_travel_time_s,optimized_avg_travel_time_s,time_saved_per_trip_s,pct_improvement_travel_time
Morning Session,robinsons_location,enc_G_G_G,G-G-G,246.66,232.94,13.72,5.56
Morning Session,robinsons_location,enc_G_G_R,G-G-R,246.72,233.18,13.54,5.49
Morning Session,robinsons_location,enc_G_R_G,G-R-G,247.09,233.15,13.94,5.64
Morning Session,robinsons_location,enc_G_R_R,G-R-R,246.38,232.67,13.71,5.56
Morning Session,robinsons_location,enc_R_G_G,R-G-G,244.6,230.77,13.83,5.65
Morning Session,robinsons_location,enc_R_G_R,R-G-R,246.32,231.88,14.44,5.86
Morning Session,robinsons_location,enc_R_R_G,R-R-G,244.84,230.95,13.89,5.67
Morning Session,robinsons_location,enc_R_R_R,R-R-R,245.11,231.3,13.81,5.63
Morning Session,waltermart_location,enc_G_G_G,G-G-G,244.82,225.43,19.39,7.92
Morning Session,waltermart_location,enc_G_G_R,G-G-R,244.58,225.14,19.44,7.95
Morning Session,waltermart_location,enc_G_R_G,G-R-G,244.5,225.1,19.4,7.93
Morning Session,waltermart_location,enc_G_R_R,G-R-R,244.01,224.39,19.62,8.04
Morning Session,waltermart_location,enc_R_G_G,R-G-G,245.46,225.37,20.09,8.18
Morning Session,waltermart_location,enc_R_G_R,R-G-R,245.24,224.82,20.42,8.33
Morning Session,waltermart_location,enc_R_R_G,R-R-G,245.06,225.16,19.9,8.12
Morning Session,waltermart_location,enc_R_R_R,R-R-R,245.3,224.84,20.46,8.34
Lunch,robinsons_location,enc_G_G_G,G-G-G,247.36,236.65,10.71,4.33
Lunch,robinsons_location,enc_G_G_R,G-G-R,245.12,234.22,10.9,4.45
Lunch,robinsons_location,enc_G_R_G,G-R-G,237.97,227.11,10.86,4.56
Lunch,robinsons_location,enc_G_R_R,G-R-R,238.32,227.45,10.87,4.56
Lunch,robinsons_location,enc_R_G_G,R-G-G,256.07,233.88,22.19,8.67
Lunch,robinsons_location,enc_R_G_R,R-G-R,255.63,232.84,22.79,8.92
Lunch,robinsons_location,enc_R_R_G,R-R-G,250.97,227.45,23.52,9.37
Lunch,robinsons_location,enc_R_R_R,R-R-R,250.84,226.22,24.62,9.82
Lunch,waltermart_location,enc_G_G_G,G-G-G,237.25,220.51,16.74,7.06
Lunch,waltermart_location,enc_G_G_R,G-G-R,241.14,225.28,15.86,6.58
Lunch,waltermart_location,enc_G_R_G,G-R-G,242.85,226.67,16.18,6.66
Lunch,waltermart_location,enc_G_R_R,G-R-R,237.42,220.63,16.79,7.07
Lunch,waltermart_location,enc_R_G_G,R-G-G,240.23,224.44,15.79,6.57
Lunch,waltermart_location,enc_R_G_R,R-G-R,239.9,223.28,16.62,6.93
Lunch,waltermart_location,enc_R_R_G,R-R-G,238.16,221.69,16.47,6.92
Lunch,waltermart_location,enc_R_R_R,R-R-R,240.91,225.03,15.88,6.59
Afternoon Session,robinsons_location,enc_G_G_G,G-G-G,245.0,232.49,12.51,5.11
Afternoon Session,robinsons_location,enc_G_G_R,G-G-R,244.89,232.24,12.65,5.17
Afternoon Session,robinsons_location,enc_G_R_G,G-R-G,244.86,232.28,12.58,5.14
Afternoon Session,robinsons_location,enc_G_R_R,G-R-R,244.58,231.77,12.81,5.24
Afternoon Session,robinsons_location,enc_R_G_G,R-G-G,244.43,232.25,12.18,4.98
Afternoon Session,robinsons_location,enc_R_G_R,R-G-R,244.38,231.89,12.49,5.11
Afternoon Session,robinsons_location,enc_R_R_G,R-R-G,243.65,231.52,12.13,4.98
Afternoon Session,robinsons_location,enc_R_R_R,R-R-R,243.9,231.71,12.19,5.0
Afternoon Session,waltermart_location,enc_G_G_G,G-G-G,247.67,224.34,23.33,9.42
Afternoon Session,waltermart_location,enc_G_G_R,G-G-R,243.66,224.15,19.51,8.01
Afternoon Session,waltermart_location,enc_G_R_G,G-R-G,243.19,223.14,20.05,8.24
Afternoon Session,waltermart_location,enc_G_R_R,G-R-R,249.26,223.76,25.5,10.23
Afternoon Session,waltermart_location,enc_R_G_G,R-G-G,243.32,223.2,20.12,8.27
Afternoon Session,waltermart_location,enc_R_G_R,R-G-R,243.47,223.69,19.78,8.12
Afternoon Session,waltermart_location,enc_R_R_G,R-R-G,243.04,223.1,19.94,8.2
Afternoon Session,waltermart_location,enc_R_R_R,R-R-R,244.08,223.25,20.83,8.53
