reached_destination_time,sim_corridor_travel_min,sim_corridor_travel_s,sim_trip_completed,departed_stop_time,arrived_at_stop_time,total_elapsed_min,obs_id,session,trip_direction,origin_terminal,destination_terminal,coordinates,origin_coordinates,destination_coordinates,scenario_id,scenario_group,policy,signal_pattern,encounter_pattern,encounter_1_green,encounter_2_green,bus_company,route,traffic_condition,crowding_level,relocate_mask,informal_mask,formal_mask,encounter_mask,service_mode,adhoc_informal_count,sim_minus_session_reference_min,session_onboard_reference_min_jan18,session_onboard_reference_note,corridor_length_m,sim_avg_speed_kmh,sim_implied_speed_kmh,sim_delay_s,field_speed_cap_kmh,traffic_mode,mixed_traffic,boarding,alighting,dwell_at_stop_s,calibration_profile,session_speed_band_kmh_jan18
06:22:21,10.07,604.0,True,06:12:17,06:12:00,10.35,4,Morning Session,rb_to_wm,robinsons,waltermart,"14.300037, 120.954412","14.300037, 120.954412","14.324939, 120.940955",P_alight_U1,driver_service,alight_unlisted,G-G,G-G,True,True,San Agustin Transport Service Corp.,Pasay - Baclaran,Light,Low,00000,111,111,111111,alight_only,1,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,45.44,19.4,,45.44,mixed,True,1.0,3.0,17.0,june2026,29.18-45.44
06:51:35,10.18,611.0,True,06:41:24,06:41:00,10.58,5,Morning Session,rb_to_wm,robinsons,waltermart,"14.300037, 120.954412","14.300037, 120.954412","14.324939, 120.940955",P_alight_U1,driver_service,alight_unlisted,G-G,G-G,True,True,San Agustin Transport Service Corp.,Pasay - Baclaran,Light,Low,00000,111,111,111111,alight_only,1,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,45.44,19.18,,45.44,mixed,True,3.0,5.0,24.0,june2026,29.18-45.44
06:12:43,10.19,611.6,True,06:02:32,06:02:00,10.72,1,Morning Session,wm_to_rb,waltermart,robinsons,"14.324939, 120.940955","14.324939, 120.940955","14.300037, 120.954412",P_alight_U1,driver_service,alight_unlisted,G-G,G-G,True,True,San Agustin,Alfonso - Tagaytay,Light,Medium,00000,111,111,111111,alight_only,1,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,45.44,19.16,,45.44,mixed,True,7.0,2.0,32.0,june2026,29.18-45.44
06:21:06,8.82,529.0,True,06:12:17,06:12:00,9.1,4,Morning Session,rb_to_wm,robinsons,waltermart,"14.300037, 120.954412","14.300037, 120.954412","14.324939, 120.940955",P_alight_U1,driver_service,alight_unlisted,G-R,G-R,True,False,San Agustin Transport Service Corp.,Pasay - Baclaran,Light,Low,00000,111,111,111111,alight_only,1,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,45.44,22.15,,45.44,mixed,True,1.0,3.0,17.0,june2026,29.18-45.44
06:50:13,8.82,529.0,True,06:41:24,06:41:00,9.22,5,Morning Session,rb_to_wm,robinsons,waltermart,"14.300037, 120.954412","14.300037, 120.954412","14.324939, 120.940955",P_alight_U1,driver_service,alight_unlisted,G-R,G-R,True,False,San Agustin Transport Service Corp.,Pasay - Baclaran,Light,Low,00000,111,111,111111,alight_only,1,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,45.44,22.15,,45.44,mixed,True,3.0,5.0,24.0,june2026,29.18-45.44
06:14:20,11.81,708.4,True,06:02:32,06:02:00,12.33,1,Morning Session,wm_to_rb,waltermart,robinsons,"14.324939, 120.940955","14.324939, 120.940955","14.300037, 120.954412",P_alight_U1,driver_service,alight_unlisted,G-R,G-R,True,False,San Agustin,Alfonso - Tagaytay,Light,Medium,00000,111,111,111111,alight_only,1,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,45.44,16.54,,45.44,mixed,True,7.0,2.0,32.0,june2026,29.18-45.44
06:23:57,11.68,700.8,True,06:12:17,06:12:00,11.95,4,Morning Session,rb_to_wm,robinsons,waltermart,"14.300037, 120.954412","14.300037, 120.954412","14.324939, 120.940955",P_alight_U1,driver_service,alight_unlisted,R-G,R-G,False,True,San Agustin Transport Service Corp.,Pasay - Baclaran,Light,Low,00000,111,111,111111,alight_only,1,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,45.44,16.72,,45.44,mixed,True,1.0,3.0,17.0,june2026,29.18-45.44
06:53:11,11.8,707.8,True,06:41:24,06:41:00,12.18,5,Morning Session,rb_to_wm,robinsons,waltermart,"14.300037, 120.954412","14.300037, 120.954412","14.324939, 120.940955",P_alight_U1,driver_service,alight_unlisted,R-G,R-G,False,True,San Agustin Transport Service Corp.,Pasay - Baclaran,Light,Low,00000,111,111,111111,alight_only,1,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,45.44,16.56,,45.44,mixed,True,3.0,5.0,24.0,june2026,29.18-45.44
06:11:21,8.82,529.4,True,06:02:32,06:02:00,9.35,1,Morning Session,wm_to_rb,waltermart,robinsons,"14.324939, 120.940955","14.324939, 120.940955","14.300037, 120.954412",P_alight_U1,driver_service,alight_unlisted,R-G,R-G,False,True,San Agustin,Alfonso - Tagaytay,Light,Medium,00000,111,111,111111,alight_only,1,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,45.44,22.13,,45.44,mixed,True,7.0,2.0,32.0,june2026,29.18-45.44
06:23:34,11.29,677.6,True,06:12:17,06:12:00,11.57,4,Morning Session,rb_to_wm,robinsons,waltermart,"14.300037, 120.954412","14.300037, 120.954412","14.324939, 120.940955",P_alight_U1,driver_service,alight_unlisted,R-R,R-R,False,False,San Agustin Transport Service Corp.,Pasay - Baclaran,Light,Low,00000,111,111,111111,alight_only,1,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,45.44,17.29,,45.44,mixed,True,1.0,3.0,17.0,june2026,29.18-45.44
06:52:48,11.41,684.6,True,06:41:24,06:41:00,11.8,5,Morning Session,rb_to_wm,robinsons,waltermart,"14.300037, 120.954412","14.300037, 120.954412","14.324939, 120.940955",P_alight_U1,driver_service,alight_unlisted,R-R,R-R,False,False,San Agustin Transport Service Corp.,Pasay - Baclaran,Light,Low,00000,111,111,111111,alight_only,1,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,45.44,17.12,,45.44,mixed,True,3.0,5.0,24.0,june2026,29.18-45.44
06:13:57,11.42,685.2,True,06:02:32,06:02:00,11.95,1,Morning Session,wm_to_rb,waltermart,robinsons,"14.324939, 120.940955","14.324939, 120.940955","14.300037, 120.954412",P_alight_U1,driver_service,alight_unlisted,R-R,R-R,False,False,San Agustin,Alfonso - Tagaytay,Light,Medium,00000,111,111,111111,alight_only,1,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,45.44,17.1,,45.44,mixed,True,7.0,2.0,32.0,june2026,29.18-45.44
06:22:08,9.87,591.9,True,06:12:17,06:12:00,10.13,4,Morning Session,rb_to_wm,robinsons,waltermart,"14.300037, 120.954412","14.300037, 120.954412","14.324939, 120.940955",P_alight_only,driver_service,alight_only,G-G,G-G,True,True,San Agustin Transport Service Corp.,Pasay - Baclaran,Light,Low,00000,111,111,111111,alight_only,0,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,45.44,19.8,,45.44,mixed,True,1.0,3.0,17.0,june2026,29.18-45.44
06:51:22,9.98,598.9,True,06:41:24,06:41:00,10.37,5,Morning Session,rb_to_wm,robinsons,waltermart,"14.300037, 120.954412","14.300037, 120.954412","14.324939, 120.940955",P_alight_only,driver_service,alight_only,G-G,G-G,True,True,San Agustin Transport Service Corp.,Pasay - Baclaran,Light,Low,00000,111,111,111111,alight_only,0,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,45.44,19.57,,45.44,mixed,True,3.0,5.0,24.0,june2026,29.18-45.44
06:12:31,9.99,599.5,True,06:02:32,06:02:00,10.52,1,Morning Session,wm_to_rb,waltermart,robinsons,"14.324939, 120.940955","14.324939, 120.940955","14.300037, 120.954412",P_alight_only,driver_service,alight_only,G-G,G-G,True,True,San Agustin,Alfonso - Tagaytay,Light,Medium,00000,111,111,111111,alight_only,0,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,45.44,19.55,,45.44,mixed,True,7.0,2.0,32.0,june2026,29.18-45.44
06:20:55,8.64,518.5,True,06:12:17,06:12:00,8.92,4,Morning Session,rb_to_wm,robinsons,waltermart,"14.300037, 120.954412","14.300037, 120.954412","14.324939, 120.940955",P_alight_only,driver_service,alight_only,G-R,G-R,True,False,San Agustin Transport Service Corp.,Pasay - Baclaran,Light,Low,00000,111,111,111111,alight_only,0,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,45.44,22.6,,45.44,mixed,True,1.0,3.0,17.0,june2026,29.18-45.44
06:50:06,8.71,522.3,True,06:41:24,06:41:00,9.1,5,Morning Session,rb_to_wm,robinsons,waltermart,"14.300037, 120.954412","14.300037, 120.954412","14.324939, 120.940955",P_alight_only,driver_service,alight_only,G-R,G-R,True,False,San Agustin Transport Service Corp.,Pasay - Baclaran,Light,Low,00000,111,111,111111,alight_only,0,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,45.44,22.44,,45.44,mixed,True,3.0,5.0,24.0,june2026,29.18-45.44
06:14:08,11.6,696.3,True,06:02:32,06:02:00,12.13,1,Morning Session,wm_to_rb,waltermart,robinsons,"14.324939, 120.940955","14.324939, 120.940955","14.300037, 120.954412",P_alight_only,driver_service,alight_only,G-R,G-R,True,False,San Agustin,Alfonso - Tagaytay,Light,Medium,00000,111,111,111111,alight_only,0,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,45.44,16.83,,45.44,mixed,True,7.0,2.0,32.0,june2026,29.18-45.44
06:23:45,11.48,688.7,True,06:12:17,06:12:00,11.75,4,Morning Session,rb_to_wm,robinsons,waltermart,"14.300037, 120.954412","14.300037, 120.954412","14.324939, 120.940955",P_alight_only,driver_service,alight_only,R-G,R-G,False,True,San Agustin Transport Service Corp.,Pasay - Baclaran,Light,Low,00000,111,111,111111,alight_only,0,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,45.44,17.01,,45.44,mixed,True,1.0,3.0,17.0,june2026,29.18-45.44
