obs_id,session,trip_direction,bus_company,scenario_id,policy,signal_pattern,traffic_condition,crowding_level,stop_sequence,stop_key,stop_label,coordinates,stop_kind,arrived_at_stop_time,dwell_at_stop_s,departed_stop_time,leg_travel_before_stop_s,stop_timeline_source
1,Morning Session,wm_to_rb,San Agustin,X_000_000,formal_only,G-G,Light,Medium,0,waltermart,Waltermart Dasmariñas (formal bus stop),"14.324939, 120.940955",terminal_formal,06:02:00,32.0,06:02:31,0.0,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,X_000_000,formal_only,G-G,Light,Medium,1,waltermart_int,Waltermart Dasmariñas Intersection Signal,"14.322364, 120.941649",signal,06:03:13,83.2,06:04:36,42.5,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,X_000_000,formal_only,G-G,Light,Medium,2,pala_pala,Pala-Pala Intersection Signal,"14.302125, 120.954055",signal,06:08:35,83.2,06:09:58,239.7,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,X_000_000,formal_only,G-G,Light,Medium,3,robinsons,Robinson Place Dasmariñas (formal bus stop),"14.300037, 120.954412",terminal_formal,06:10:29,39.1,06:11:08,31.8,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,X_000_000,formal_only,G-R,Light,Medium,0,waltermart,Waltermart Dasmariñas (formal bus stop),"14.324939, 120.940955",terminal_formal,06:02:00,31.9,06:02:31,0.0,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,X_000_000,formal_only,G-R,Light,Medium,1,waltermart_int,Waltermart Dasmariñas Intersection Signal,"14.322364, 120.941649",signal,06:03:13,83.2,06:04:36,42.5,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,X_000_000,formal_only,G-R,Light,Medium,2,pala_pala,Pala-Pala Intersection Signal,"14.302125, 120.954055",signal,06:08:35,180.0,06:11:35,239.7,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,X_000_000,formal_only,G-R,Light,Medium,3,robinsons,Robinson Place Dasmariñas (formal bus stop),"14.300037, 120.954412",terminal_formal,06:12:06,39.1,06:12:45,31.8,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,X_000_000,formal_only,R-G,Light,Medium,0,waltermart,Waltermart Dasmariñas (formal bus stop),"14.324939, 120.940955",terminal_formal,06:02:00,31.9,06:02:31,0.0,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,X_000_000,formal_only,R-G,Light,Medium,1,waltermart_int,Waltermart Dasmariñas Intersection Signal,"14.322364, 120.941649",signal,06:03:13,60.0,06:04:13,42.5,schedule_aligned_to_uxsim_e2e
