reached_destination_time,sim_corridor_travel_min,sim_corridor_travel_s,sim_trip_completed,departed_stop_time,arrived_at_stop_time,total_elapsed_min,obs_id,session,trip_direction,origin_terminal,destination_terminal,coordinates,origin_coordinates,destination_coordinates,scenario_id,scenario_group,policy,signal_pattern,encounter_pattern,encounter_1_green,encounter_2_green,bus_company,route,traffic_condition,crowding_level,relocate_mask,informal_mask,formal_mask,encounter_mask,service_mode,adhoc_informal_count,sim_minus_session_reference_min,session_onboard_reference_min_jan18,session_onboard_reference_note,corridor_length_m,sim_avg_speed_kmh,sim_implied_speed_kmh,sim_delay_s,field_speed_cap_kmh,traffic_mode,mixed_traffic,boarding,alighting,dwell_at_stop_s,calibration_profile,session_speed_band_kmh_jan18
06:12:19,9.79,587.7,True,06:02:32,06:02:00,10.32,1,Morning Session,wm_to_rb,waltermart,robinsons,"14.324939, 120.940955","14.324939, 120.940955","14.300037, 120.954412",B_informal_only,policy,informal_only,G-G,G-G,True,True,San Agustin,Alfonso - Tagaytay,Light,Medium,00000,111,000,000111,full,0,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,45.44,19.94,,45.44,mixed,True,7.0,2.0,32.0,june2026,29.18-45.44
06:13:56,11.41,684.5,True,06:02:32,06:02:00,11.93,1,Morning Session,wm_to_rb,waltermart,robinsons,"14.324939, 120.940955","14.324939, 120.940955","14.300037, 120.954412",B_informal_only,policy,informal_only,G-R,G-R,True,False,San Agustin,Alfonso - Tagaytay,Light,Medium,00000,111,000,000111,full,0,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,45.44,17.12,,45.44,mixed,True,7.0,2.0,32.0,june2026,29.18-45.44
06:11:08,8.6,516.2,True,06:02:32,06:02:00,9.13,1,Morning Session,wm_to_rb,waltermart,robinsons,"14.324939, 120.940955","14.324939, 120.940955","14.300037, 120.954412",B_informal_only,policy,informal_only,R-G,R-G,False,True,San Agustin,Alfonso - Tagaytay,Light,Medium,00000,111,000,000111,full,0,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,45.44,22.7,,45.44,mixed,True,7.0,2.0,32.0,june2026,29.18-45.44
06:13:33,11.02,661.3,True,06:02:32,06:02:00,11.55,1,Morning Session,wm_to_rb,waltermart,robinsons,"14.324939, 120.940955","14.324939, 120.940955","14.300037, 120.954412",B_informal_only,policy,informal_only,R-R,R-R,False,False,San Agustin,Alfonso - Tagaytay,Light,Medium,00000,111,000,000111,full,0,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,45.44,17.72,,45.44,mixed,True,7.0,2.0,32.0,june2026,29.18-45.44
12:30:52,12.32,739.4,True,12:18:33,12:18:00,12.87,2,Lunch,rb_to_wm,robinsons,waltermart,"14.300037, 120.954412","14.300037, 120.954412","14.324939, 120.940955",B_informal_only,policy,informal_only,G-G,G-G,True,True,San Agustin,PITX - Lawton,Moderate,Low,00000,111,000,000111,full,0,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,31.2,15.85,,31.2,mixed,True,0.0,5.0,33.0,june2026,25.18-31.20
12:29:31,10.97,658.0,True,12:18:33,12:18:00,11.52,2,Lunch,rb_to_wm,robinsons,waltermart,"14.300037, 120.954412","14.300037, 120.954412","14.324939, 120.940955",B_informal_only,policy,informal_only,G-R,G-R,True,False,San Agustin,PITX - Lawton,Moderate,Low,00000,111,000,000111,full,0,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,31.2,17.81,,31.2,mixed,True,0.0,5.0,33.0,june2026,25.18-31.20
12:32:26,13.89,833.4,True,12:18:33,12:18:00,14.43,2,Lunch,rb_to_wm,robinsons,waltermart,"14.300037, 120.954412","14.300037, 120.954412","14.324939, 120.940955",B_informal_only,policy,informal_only,R-G,R-G,False,True,San Agustin,PITX - Lawton,Moderate,Low,00000,111,000,000111,full,0,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,31.2,14.06,,31.2,mixed,True,0.0,5.0,33.0,june2026,25.18-31.20
12:31:55,13.37,802.4,True,12:18:33,12:18:00,13.92,2,Lunch,rb_to_wm,robinsons,waltermart,"14.300037, 120.954412","14.300037, 120.954412","14.324939, 120.940955",B_informal_only,policy,informal_only,R-R,R-R,False,False,San Agustin,PITX - Lawton,Moderate,Low,00000,111,000,000111,full,0,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,31.2,14.6,,31.2,mixed,True,0.0,5.0,33.0,june2026,25.18-31.20
16:50:06,27.85,1671.0,True,16:22:15,16:22:00,28.1,3,Afternoon Session,rb_to_wm,robinsons,waltermart,"14.300037, 120.954412","14.300037, 120.954412","14.324939, 120.940955",B_informal_only,policy,informal_only,G-G,G-G,True,True,San Agustin,Pasay,Heavy,Medium,00000,111,000,000111,full,0,7.85,20.0,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,31.24,7.01,,31.24,mixed,True,4.0,0.0,15.0,june2026,24.56-31.24
16:50:05,27.85,1670.8,True,16:22:15,16:22:00,28.08,3,Afternoon Session,rb_to_wm,robinsons,waltermart,"14.300037, 120.954412","14.300037, 120.954412","14.324939, 120.940955",B_informal_only,policy,informal_only,G-R,G-R,True,False,San Agustin,Pasay,Heavy,Medium,00000,111,000,000111,full,0,7.85,20.0,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,31.21,7.01,,31.24,mixed,True,4.0,0.0,15.0,june2026,24.56-31.24
16:50:06,27.85,1671.0,True,16:22:15,16:22:00,28.1,3,Afternoon Session,rb_to_wm,robinsons,waltermart,"14.300037, 120.954412","14.300037, 120.954412","14.324939, 120.940955",B_informal_only,policy,informal_only,R-G,R-G,False,True,San Agustin,Pasay,Heavy,Medium,00000,111,000,000111,full,0,7.85,20.0,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,31.24,7.01,,31.24,mixed,True,4.0,0.0,15.0,june2026,24.56-31.24
16:50:06,27.85,1671.1,True,16:22:15,16:22:00,28.1,3,Afternoon Session,rb_to_wm,robinsons,waltermart,"14.300037, 120.954412","14.300037, 120.954412","14.324939, 120.940955",B_informal_only,policy,informal_only,R-R,R-R,False,False,San Agustin,Pasay,Heavy,Medium,00000,111,000,000111,full,0,7.85,20.0,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,31.24,7.01,,31.24,mixed,True,4.0,0.0,15.0,june2026,24.56-31.24
06:21:42,9.43,565.6,True,06:12:17,06:12:00,9.7,4,Morning Session,rb_to_wm,robinsons,waltermart,"14.300037, 120.954412","14.300037, 120.954412","14.324939, 120.940955",B_informal_only,policy,informal_only,G-G,G-G,True,True,San Agustin Transport Service Corp.,Pasay - Baclaran,Light,Low,00000,111,000,000111,full,0,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,45.44,20.72,,45.44,mixed,True,1.0,3.0,17.0,june2026,29.18-45.44
06:20:41,8.4,504.2,True,06:12:17,06:12:00,8.68,4,Morning Session,rb_to_wm,robinsons,waltermart,"14.300037, 120.954412","14.300037, 120.954412","14.324939, 120.940955",B_informal_only,policy,informal_only,G-R,G-R,True,False,San Agustin Transport Service Corp.,Pasay - Baclaran,Light,Low,00000,111,000,000111,full,0,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,45.44,23.24,,45.44,mixed,True,1.0,3.0,17.0,june2026,29.18-45.44
06:23:19,11.04,662.4,True,06:12:17,06:12:00,11.32,4,Morning Session,rb_to_wm,robinsons,waltermart,"14.300037, 120.954412","14.300037, 120.954412","14.324939, 120.940955",B_informal_only,policy,informal_only,R-G,R-G,False,True,San Agustin Transport Service Corp.,Pasay - Baclaran,Light,Low,00000,111,000,000111,full,0,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,45.44,17.69,,45.44,mixed,True,1.0,3.0,17.0,june2026,29.18-45.44
06:22:56,10.65,639.2,True,06:12:17,06:12:00,10.93,4,Morning Session,rb_to_wm,robinsons,waltermart,"14.300037, 120.954412","14.300037, 120.954412","14.324939, 120.940955",B_informal_only,policy,informal_only,R-R,R-R,False,False,San Agustin Transport Service Corp.,Pasay - Baclaran,Light,Low,00000,111,000,000111,full,0,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,45.44,18.33,,45.44,mixed,True,1.0,3.0,17.0,june2026,29.18-45.44
