obs_id,session,trip_direction,bus_company,scenario_id,policy,signal_pattern,traffic_condition,crowding_level,stop_sequence,stop_key,stop_label,coordinates,stop_kind,arrived_at_stop_time,dwell_at_stop_s,departed_stop_time,leg_travel_before_stop_s,stop_timeline_source
1,Morning Session,wm_to_rb,San Agustin,B_informal_only,informal_only,G-G,Light,Medium,0,waltermart,Waltermart Dasmariñas (formal bus stop),"14.324939, 120.940955",terminal_formal,06:02:00,32.0,06:02:31,0.0,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,B_informal_only,informal_only,G-G,Light,Medium,1,rcbc,RCBC Bank (informal),"14.322737, 120.941631",informal,06:03:06,36.2,06:03:42,35.5,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,B_informal_only,informal_only,G-G,Light,Medium,2,waltermart_int,Waltermart Dasmariñas Intersection Signal,"14.322364, 120.941649",signal,06:03:50,83.2,06:05:13,8.5,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,B_informal_only,informal_only,G-G,Light,Medium,3,pala_pala,Pala-Pala Intersection Signal,"14.302125, 120.954055",signal,06:09:11,83.2,06:10:34,238.4,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,B_informal_only,informal_only,G-G,Light,Medium,4,robinsons,Robinson Place Dasmariñas (formal bus stop),"14.300037, 120.954412",terminal_formal,06:11:05,39.1,06:11:44,31.6,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,B_informal_only,informal_only,G-R,Light,Medium,0,waltermart,Waltermart Dasmariñas (formal bus stop),"14.324939, 120.940955",terminal_formal,06:02:00,32.0,06:02:31,0.0,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,B_informal_only,informal_only,G-R,Light,Medium,1,rcbc,RCBC Bank (informal),"14.322737, 120.941631",informal,06:03:06,36.2,06:03:42,35.5,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,B_informal_only,informal_only,G-R,Light,Medium,2,waltermart_int,Waltermart Dasmariñas Intersection Signal,"14.322364, 120.941649",signal,06:03:50,83.2,06:05:13,8.5,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,B_informal_only,informal_only,G-R,Light,Medium,3,pala_pala,Pala-Pala Intersection Signal,"14.302125, 120.954055",signal,06:09:11,180.0,06:12:11,238.4,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,B_informal_only,informal_only,G-R,Light,Medium,4,robinsons,Robinson Place Dasmariñas (formal bus stop),"14.300037, 120.954412",terminal_formal,06:12:42,39.1,06:13:21,31.6,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,B_informal_only,informal_only,R-G,Light,Medium,0,waltermart,Waltermart Dasmariñas (formal bus stop),"14.324939, 120.940955",terminal_formal,06:02:00,17.6,06:02:17,0.0,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,B_informal_only,informal_only,R-G,Light,Medium,1,rcbc,RCBC Bank (informal),"14.322737, 120.941631",informal,06:02:52,19.9,06:03:11,35.5,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,B_informal_only,informal_only,R-G,Light,Medium,2,waltermart_int,Waltermart Dasmariñas Intersection Signal,"14.322364, 120.941649",signal,06:03:19,60.0,06:04:19,8.5,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,B_informal_only,informal_only,R-G,Light,Medium,3,pala_pala,Pala-Pala Intersection Signal,"14.302125, 120.954055",signal,06:08:17,83.2,06:09:40,238.4,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,B_informal_only,informal_only,R-G,Light,Medium,4,robinsons,Robinson Place Dasmariñas (formal bus stop),"14.300037, 120.954412",terminal_formal,06:10:11,21.5,06:10:32,31.6,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,B_informal_only,informal_only,R-R,Light,Medium,0,waltermart,Waltermart Dasmariñas (formal bus stop),"14.324939, 120.940955",terminal_formal,06:02:00,31.9,06:02:31,0.0,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,B_informal_only,informal_only,R-R,Light,Medium,1,rcbc,RCBC Bank (informal),"14.322737, 120.941631",informal,06:03:06,36.1,06:03:42,35.5,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,B_informal_only,informal_only,R-R,Light,Medium,2,waltermart_int,Waltermart Dasmariñas Intersection Signal,"14.322364, 120.941649",signal,06:03:50,60.0,06:04:50,8.5,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,B_informal_only,informal_only,R-R,Light,Medium,3,pala_pala,Pala-Pala Intersection Signal,"14.302125, 120.954055",signal,06:08:48,180.0,06:11:48,238.4,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,B_informal_only,informal_only,R-R,Light,Medium,4,robinsons,Robinson Place Dasmariñas (formal bus stop),"14.300037, 120.954412",terminal_formal,06:12:19,39.1,06:12:58,31.6,schedule_aligned_to_uxsim_e2e
2,Lunch,rb_to_wm,San Agustin,B_informal_only,informal_only,G-G,Moderate,Low,0,korean_grocery,Informal stop (Korean grocery),"14.300720, 120.954320",informal,12:18:00,33.0,12:18:33,0.0,schedule_aligned_to_uxsim_e2e
2,Lunch,rb_to_wm,San Agustin,B_informal_only,informal_only,G-G,Moderate,Low,1,pala_pala,Pala-Pala Intersection Signal,"14.302125, 120.954055",signal,12:18:51,105.8,12:20:36,18.5,schedule_aligned_to_uxsim_e2e
2,Lunch,rb_to_wm,San Agustin,B_informal_only,informal_only,G-G,Moderate,Low,2,seven_eleven,7-Eleven Pala Pala (informal),"14.301972, 120.954139",informal,12:20:44,23.1,12:21:07,8.4,schedule_aligned_to_uxsim_e2e
