reached_destination_time,sim_corridor_travel_min,sim_corridor_travel_s,sim_trip_completed,departed_stop_time,arrived_at_stop_time,total_elapsed_min,obs_id,session,trip_direction,origin_terminal,destination_terminal,coordinates,origin_coordinates,destination_coordinates,scenario_id,scenario_group,policy,signal_pattern,encounter_pattern,encounter_1_green,encounter_2_green,bus_company,route,traffic_condition,crowding_level,relocate_mask,informal_mask,formal_mask,encounter_mask,service_mode,adhoc_informal_count,sim_minus_session_reference_min,session_onboard_reference_min_jan18,session_onboard_reference_note,corridor_length_m,sim_avg_speed_kmh,sim_implied_speed_kmh,sim_delay_s,field_speed_cap_kmh,traffic_mode,mixed_traffic,boarding,alighting,dwell_at_stop_s,calibration_profile,session_speed_band_kmh_jan18
12:46:20,8.92,535.1,True,12:37:25,12:37:00,9.33,7,Lunch,wm_to_rb,waltermart,robinsons,"14.324939, 120.940955","14.324939, 120.940955","14.300037, 120.954412",X_001_100_d55,optimized_all,optimized_encounter,G-G,G-G,True,True,San Agustin Transport Service Corp.,Mendez,Light,Medium,00000,100,001,001100,full,0,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,45.44,21.9,,45.44,mixed,True,5.0,3.0,25.0,june2026,29.18-45.44
06:11:25,8.9,533.9,True,06:02:32,06:02:00,9.42,1,Morning Session,wm_to_rb,waltermart,robinsons,"14.324939, 120.940955","14.324939, 120.940955","14.300037, 120.954412",X_000_000_d55,optimized_all,optimized_encounter,G-G,G-G,True,True,San Agustin,Alfonso - Tagaytay,Light,Medium,00000,000,000,000000,full,0,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,45.44,21.95,,45.44,mixed,True,7.0,2.0,32.0,june2026,29.18-45.44
12:47:56,10.53,631.9,True,12:37:25,12:37:00,10.93,7,Lunch,wm_to_rb,waltermart,robinsons,"14.324939, 120.940955","14.324939, 120.940955","14.300037, 120.954412",X_001_100_d55,optimized_all,optimized_encounter,G-R,G-R,True,False,San Agustin Transport Service Corp.,Mendez,Light,Medium,00000,100,001,001100,full,0,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,45.44,18.54,,45.44,mixed,True,5.0,3.0,25.0,june2026,29.18-45.44
06:13:02,10.51,630.7,True,06:02:32,06:02:00,11.03,1,Morning Session,wm_to_rb,waltermart,robinsons,"14.324939, 120.940955","14.324939, 120.940955","14.300037, 120.954412",X_000_000_d55,optimized_all,optimized_encounter,G-R,G-R,True,False,San Agustin,Alfonso - Tagaytay,Light,Medium,00000,000,000,000000,full,0,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,45.44,18.58,,45.44,mixed,True,7.0,2.0,32.0,june2026,29.18-45.44
06:11:02,8.51,510.7,True,06:02:32,06:02:00,9.03,1,Morning Session,wm_to_rb,waltermart,robinsons,"14.324939, 120.940955","14.324939, 120.940955","14.300037, 120.954412",X_000_000_d55,optimized_all,optimized_encounter,R-G,R-G,False,True,San Agustin,Alfonso - Tagaytay,Light,Medium,00000,000,000,000000,full,0,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,45.44,22.94,,45.44,mixed,True,7.0,2.0,32.0,june2026,29.18-45.44
12:45:27,8.04,482.3,True,12:37:25,12:37:00,8.45,7,Lunch,wm_to_rb,waltermart,robinsons,"14.324939, 120.940955","14.324939, 120.940955","14.300037, 120.954412",X_001_100_d55,optimized_all,optimized_encounter,R-G,R-G,False,True,San Agustin Transport Service Corp.,Mendez,Light,Medium,00000,100,001,001100,full,0,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,45.44,24.3,,45.44,mixed,True,5.0,3.0,25.0,june2026,29.18-45.44
06:12:39,10.12,607.5,True,06:02:32,06:02:00,10.65,1,Morning Session,wm_to_rb,waltermart,robinsons,"14.324939, 120.940955","14.324939, 120.940955","14.300037, 120.954412",X_000_000_d55,optimized_all,optimized_encounter,R-R,R-R,False,False,San Agustin,Alfonso - Tagaytay,Light,Medium,00000,000,000,000000,full,0,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,45.44,19.29,,45.44,mixed,True,7.0,2.0,32.0,june2026,29.18-45.44
12:47:28,10.06,603.7,True,12:37:25,12:37:00,10.47,7,Lunch,wm_to_rb,waltermart,robinsons,"14.324939, 120.940955","14.324939, 120.940955","14.300037, 120.954412",X_001_100_d55,optimized_all,optimized_encounter,R-R,R-R,False,False,San Agustin Transport Service Corp.,Mendez,Light,Medium,00000,100,001,001100,full,0,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,45.44,19.41,,45.44,mixed,True,5.0,3.0,25.0,june2026,29.18-45.44
06:11:25,8.9,533.9,True,06:02:32,06:02:00,9.42,1,Morning Session,wm_to_rb,waltermart,robinsons,"14.324939, 120.940955","14.324939, 120.940955","14.300037, 120.954412",X_000_100_d55,optimized_all,optimized_encounter,G-G,G-G,True,True,San Agustin,Alfonso - Tagaytay,Light,Medium,00000,100,000,000100,full,0,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,45.44,21.95,,45.44,mixed,True,7.0,2.0,32.0,june2026,29.18-45.44
06:13:02,10.51,630.7,True,06:02:32,06:02:00,11.03,1,Morning Session,wm_to_rb,waltermart,robinsons,"14.324939, 120.940955","14.324939, 120.940955","14.300037, 120.954412",X_000_100_d55,optimized_all,optimized_encounter,G-R,G-R,True,False,San Agustin,Alfonso - Tagaytay,Light,Medium,00000,100,000,000100,full,0,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,45.44,18.58,,45.44,mixed,True,7.0,2.0,32.0,june2026,29.18-45.44
12:46:20,8.92,535.1,True,12:37:25,12:37:00,9.33,7,Lunch,wm_to_rb,waltermart,robinsons,"14.324939, 120.940955","14.324939, 120.940955","14.300037, 120.954412",X_001_010_d55,optimized_all,optimized_encounter,G-G,G-G,True,True,San Agustin Transport Service Corp.,Mendez,Light,Medium,00000,010,001,001010,full,0,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,45.44,21.9,,45.44,mixed,True,5.0,3.0,25.0,june2026,29.18-45.44
06:11:02,8.51,510.7,True,06:02:32,06:02:00,9.03,1,Morning Session,wm_to_rb,waltermart,robinsons,"14.324939, 120.940955","14.324939, 120.940955","14.300037, 120.954412",X_000_100_d55,optimized_all,optimized_encounter,R-G,R-G,False,True,San Agustin,Alfonso - Tagaytay,Light,Medium,00000,100,000,000100,full,0,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,45.44,22.94,,45.44,mixed,True,7.0,2.0,32.0,june2026,29.18-45.44
12:47:56,10.53,631.9,True,12:37:25,12:37:00,10.93,7,Lunch,wm_to_rb,waltermart,robinsons,"14.324939, 120.940955","14.324939, 120.940955","14.300037, 120.954412",X_001_010_d55,optimized_all,optimized_encounter,G-R,G-R,True,False,San Agustin Transport Service Corp.,Mendez,Light,Medium,00000,010,001,001010,full,0,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,45.44,18.54,,45.44,mixed,True,5.0,3.0,25.0,june2026,29.18-45.44
06:12:39,10.12,607.5,True,06:02:32,06:02:00,10.65,1,Morning Session,wm_to_rb,waltermart,robinsons,"14.324939, 120.940955","14.324939, 120.940955","14.300037, 120.954412",X_000_100_d55,optimized_all,optimized_encounter,R-R,R-R,False,False,San Agustin,Alfonso - Tagaytay,Light,Medium,00000,100,000,000100,full,0,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,45.44,19.29,,45.44,mixed,True,7.0,2.0,32.0,june2026,29.18-45.44
06:11:25,8.9,533.9,True,06:02:32,06:02:00,9.42,1,Morning Session,wm_to_rb,waltermart,robinsons,"14.324939, 120.940955","14.324939, 120.940955","14.300037, 120.954412",X_000_010_d55,optimized_all,optimized_encounter,G-G,G-G,True,True,San Agustin,Alfonso - Tagaytay,Light,Medium,00000,010,000,000010,full,0,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,45.44,21.95,,45.44,mixed,True,7.0,2.0,32.0,june2026,29.18-45.44
12:45:27,8.04,482.3,True,12:37:25,12:37:00,8.45,7,Lunch,wm_to_rb,waltermart,robinsons,"14.324939, 120.940955","14.324939, 120.940955","14.300037, 120.954412",X_001_010_d55,optimized_all,optimized_encounter,R-G,R-G,False,True,San Agustin Transport Service Corp.,Mendez,Light,Medium,00000,010,001,001010,full,0,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,45.44,24.3,,45.44,mixed,True,5.0,3.0,25.0,june2026,29.18-45.44
06:13:02,10.51,630.7,True,06:02:32,06:02:00,11.03,1,Morning Session,wm_to_rb,waltermart,robinsons,"14.324939, 120.940955","14.324939, 120.940955","14.300037, 120.954412",X_000_010_d55,optimized_all,optimized_encounter,G-R,G-R,True,False,San Agustin,Alfonso - Tagaytay,Light,Medium,00000,010,000,000010,full,0,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,45.44,18.58,,45.44,mixed,True,7.0,2.0,32.0,june2026,29.18-45.44
12:47:28,10.06,603.7,True,12:37:25,12:37:00,10.47,7,Lunch,wm_to_rb,waltermart,robinsons,"14.324939, 120.940955","14.324939, 120.940955","14.300037, 120.954412",X_001_010_d55,optimized_all,optimized_encounter,R-R,R-R,False,False,San Agustin Transport Service Corp.,Mendez,Light,Medium,00000,010,001,001010,full,0,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,45.44,19.41,,45.44,mixed,True,5.0,3.0,25.0,june2026,29.18-45.44
06:11:02,8.51,510.7,True,06:02:32,06:02:00,9.03,1,Morning Session,wm_to_rb,waltermart,robinsons,"14.324939, 120.940955","14.324939, 120.940955","14.300037, 120.954412",X_000_010_d55,optimized_all,optimized_encounter,R-G,R-G,False,True,San Agustin,Alfonso - Tagaytay,Light,Medium,00000,010,000,000010,full,0,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,45.44,22.94,,45.44,mixed,True,7.0,2.0,32.0,june2026,29.18-45.44
06:12:39,10.12,607.5,True,06:02:32,06:02:00,10.65,1,Morning Session,wm_to_rb,waltermart,robinsons,"14.324939, 120.940955","14.324939, 120.940955","14.300037, 120.954412",X_000_010_d55,optimized_all,optimized_encounter,R-R,R-R,False,False,San Agustin,Alfonso - Tagaytay,Light,Medium,00000,010,000,000010,full,0,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,45.44,19.29,,45.44,mixed,True,7.0,2.0,32.0,june2026,29.18-45.44
12:45:59,8.58,514.9,True,12:37:25,12:37:00,8.98,7,Lunch,wm_to_rb,waltermart,robinsons,"14.324939, 120.940955","14.324939, 120.940955","14.300037, 120.954412",X_001_110_d55,optimized_all,optimized_encounter,G-G,G-G,True,True,San Agustin Transport Service Corp.,Mendez,Light,Medium,00000,110,001,001110,full,0,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,45.44,22.76,,45.44,mixed,True,5.0,3.0,25.0,june2026,29.18-45.44
06:11:25,8.9,533.9,True,06:02:32,06:02:00,9.42,1,Morning Session,wm_to_rb,waltermart,robinsons,"14.324939, 120.940955","14.324939, 120.940955","14.300037, 120.954412",X_000_110_d55,optimized_all,optimized_encounter,G-G,G-G,True,True,San Agustin,Alfonso - Tagaytay,Light,Medium,00000,110,000,000110,full,0,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,45.44,21.95,,45.44,mixed,True,7.0,2.0,32.0,june2026,29.18-45.44
12:48:04,10.66,639.8,True,12:37:25,12:37:00,11.07,7,Lunch,wm_to_rb,waltermart,robinsons,"14.324939, 120.940955","14.324939, 120.940955","14.300037, 120.954412",X_001_110_d55,optimized_all,optimized_encounter,G-R,G-R,True,False,San Agustin Transport Service Corp.,Mendez,Light,Medium,00000,110,001,001110,full,0,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,45.44,18.32,,45.44,mixed,True,5.0,3.0,25.0,june2026,29.18-45.44
06:13:02,10.51,630.7,True,06:02:32,06:02:00,11.03,1,Morning Session,wm_to_rb,waltermart,robinsons,"14.324939, 120.940955","14.324939, 120.940955","14.300037, 120.954412",X_000_110_d55,optimized_all,optimized_encounter,G-R,G-R,True,False,San Agustin,Alfonso - Tagaytay,Light,Medium,00000,110,000,000110,full,0,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,45.44,18.58,,45.44,mixed,True,7.0,2.0,32.0,june2026,29.18-45.44
12:45:52,8.46,507.3,True,12:37:25,12:37:00,8.87,7,Lunch,wm_to_rb,waltermart,robinsons,"14.324939, 120.940955","14.324939, 120.940955","14.300037, 120.954412",X_001_110_d55,optimized_all,optimized_encounter,R-G,R-G,False,True,San Agustin Transport Service Corp.,Mendez,Light,Medium,00000,110,001,001110,full,0,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,45.44,23.1,,45.44,mixed,True,5.0,3.0,25.0,june2026,29.18-45.44
06:11:02,8.51,510.7,True,06:02:32,06:02:00,9.03,1,Morning Session,wm_to_rb,waltermart,robinsons,"14.324939, 120.940955","14.324939, 120.940955","14.300037, 120.954412",X_000_110_d55,optimized_all,optimized_encounter,R-G,R-G,False,True,San Agustin,Alfonso - Tagaytay,Light,Medium,00000,110,000,000110,full,0,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,45.44,22.94,,45.44,mixed,True,7.0,2.0,32.0,june2026,29.18-45.44
