obs_id,session,trip_direction,bus_company,scenario_id,policy,signal_pattern,traffic_condition,crowding_level,stop_sequence,stop_key,stop_label,coordinates,stop_kind,arrived_at_stop_time,dwell_at_stop_s,departed_stop_time,leg_travel_before_stop_s,stop_timeline_source
7,Lunch,wm_to_rb,San Agustin Transport Service Corp.,X_001_100_d55,optimized_encounter,G-G,Light,Medium,0,waltermart,Waltermart Dasmariñas (formal bus stop),"14.324939, 120.940955",terminal_formal,12:37:00,25.0,12:37:25,0.0,schedule_aligned_to_uxsim_e2e
7,Lunch,wm_to_rb,San Agustin Transport Service Corp.,X_001_100_d55,optimized_encounter,G-G,Light,Medium,1,waltermart_int,Waltermart Dasmariñas Intersection Signal,"14.322364, 120.941649",signal,12:38:06,83.2,12:39:29,41.4,schedule_aligned_to_uxsim_e2e
7,Lunch,wm_to_rb,San Agustin Transport Service Corp.,X_001_100_d55,optimized_encounter,G-G,Light,Medium,2,vista_mall,Vista Mall Dasmariñas (formal),"14.316870, 120.944150",formal,12:40:35,8.8,12:40:43,66.3,schedule_aligned_to_uxsim_e2e
7,Lunch,wm_to_rb,San Agustin Transport Service Corp.,X_001_100_d55,optimized_encounter,G-G,Light,Medium,3,pala_pala,Pala-Pala Intersection Signal,"14.302125, 120.954055",signal,12:43:38,83.2,12:45:01,175.5,schedule_aligned_to_uxsim_e2e
7,Lunch,wm_to_rb,San Agustin Transport Service Corp.,X_001_100_d55,optimized_encounter,G-G,Light,Medium,4,robinsons,Robinson Place Dasmariñas (formal bus stop),"14.300037, 120.954412",terminal_formal,12:45:31,20.8,12:45:51,31.0,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,X_000_000_d55,optimized_encounter,G-G,Light,Medium,0,waltermart,Waltermart Dasmariñas (formal bus stop),"14.324939, 120.940955",terminal_formal,06:02:00,32.0,06:02:31,0.0,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,X_000_000_d55,optimized_encounter,G-G,Light,Medium,1,waltermart_int,Waltermart Dasmariñas Intersection Signal,"14.322364, 120.941649",signal,06:03:13,83.2,06:04:36,42.5,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,X_000_000_d55,optimized_encounter,G-G,Light,Medium,2,pala_pala,Pala-Pala Intersection Signal,"14.302125, 120.954055",signal,06:08:35,83.2,06:09:58,239.7,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,X_000_000_d55,optimized_encounter,G-G,Light,Medium,3,robinsons,Robinson Place Dasmariñas (formal bus stop),"14.300037, 120.954412",terminal_formal,06:10:29,21.5,06:10:50,31.8,schedule_aligned_to_uxsim_e2e
7,Lunch,wm_to_rb,San Agustin Transport Service Corp.,X_001_100_d55,optimized_encounter,G-R,Light,Medium,0,waltermart,Waltermart Dasmariñas (formal bus stop),"14.324939, 120.940955",terminal_formal,12:37:00,25.0,12:37:24,0.0,schedule_aligned_to_uxsim_e2e
