reached_destination_time,sim_corridor_travel_min,sim_corridor_travel_s,sim_trip_completed,departed_stop_time,arrived_at_stop_time,total_elapsed_min,obs_id,session,trip_direction,origin_terminal,destination_terminal,coordinates,origin_coordinates,destination_coordinates,scenario_id,scenario_group,policy,signal_pattern,encounter_pattern,encounter_1_green,encounter_2_green,bus_company,route,traffic_condition,crowding_level,relocate_mask,informal_mask,formal_mask,encounter_mask,service_mode,adhoc_informal_count,sim_minus_session_reference_min,session_onboard_reference_min_jan18,session_onboard_reference_note,corridor_length_m,sim_avg_speed_kmh,sim_implied_speed_kmh,sim_delay_s,field_speed_cap_kmh,traffic_mode,mixed_traffic,boarding,alighting,dwell_at_stop_s,calibration_profile,session_speed_band_kmh_jan18
06:11:57,9.43,565.9,True,06:02:32,06:02:00,9.95,1,Morning Session,wm_to_rb,waltermart,robinsons,"14.324939, 120.940955","14.324939, 120.940955","14.300037, 120.954412",A_transit__U0_d55,optimized_unlisted_all,optimized_unlisted,G-G,G-G,True,True,San Agustin,Alfonso - Tagaytay,Light,Medium,00000,111,111,111111,full,0,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,45.44,20.71,,45.44,mixed,True,7.0,2.0,32.0,june2026,29.18-45.44
06:13:34,11.04,662.7,True,06:02:32,06:02:00,11.57,1,Morning Session,wm_to_rb,waltermart,robinsons,"14.324939, 120.940955","14.324939, 120.940955","14.300037, 120.954412",A_transit__U0_d55,optimized_unlisted_all,optimized_unlisted,G-R,G-R,True,False,San Agustin,Alfonso - Tagaytay,Light,Medium,00000,111,111,111111,full,0,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,45.44,17.68,,45.44,mixed,True,7.0,2.0,32.0,june2026,29.18-45.44
06:10:56,8.4,504.2,True,06:02:32,06:02:00,8.93,1,Morning Session,wm_to_rb,waltermart,robinsons,"14.324939, 120.940955","14.324939, 120.940955","14.300037, 120.954412",A_transit__U0_d55,optimized_unlisted_all,optimized_unlisted,R-G,R-G,False,True,San Agustin,Alfonso - Tagaytay,Light,Medium,00000,111,111,111111,full,0,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,45.44,23.24,,45.44,mixed,True,7.0,2.0,32.0,june2026,29.18-45.44
06:13:11,10.66,639.5,True,06:02:32,06:02:00,11.18,1,Morning Session,wm_to_rb,waltermart,robinsons,"14.324939, 120.940955","14.324939, 120.940955","14.300037, 120.954412",A_transit__U0_d55,optimized_unlisted_all,optimized_unlisted,R-R,R-R,False,False,San Agustin,Alfonso - Tagaytay,Light,Medium,00000,111,111,111111,full,0,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,45.44,18.32,,45.44,mixed,True,7.0,2.0,32.0,june2026,29.18-45.44
06:12:06,9.57,574.0,True,06:02:32,06:02:00,10.1,1,Morning Session,wm_to_rb,waltermart,robinsons,"14.324939, 120.940955","14.324939, 120.940955","14.300037, 120.954412",A_transit__U1_d55,optimized_unlisted_all,optimized_unlisted,G-G,G-G,True,True,San Agustin,Alfonso - Tagaytay,Light,Medium,00000,111,111,111111,full,1,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,45.44,20.41,,45.44,mixed,True,7.0,2.0,32.0,june2026,29.18-45.44
06:13:42,11.18,670.8,True,06:02:32,06:02:00,11.7,1,Morning Session,wm_to_rb,waltermart,robinsons,"14.324939, 120.940955","14.324939, 120.940955","14.300037, 120.954412",A_transit__U1_d55,optimized_unlisted_all,optimized_unlisted,G-R,G-R,True,False,San Agustin,Alfonso - Tagaytay,Light,Medium,00000,111,111,111111,full,1,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,45.44,17.47,,45.44,mixed,True,7.0,2.0,32.0,june2026,29.18-45.44
06:11:00,8.48,508.7,True,06:02:32,06:02:00,9.0,1,Morning Session,wm_to_rb,waltermart,robinsons,"14.324939, 120.940955","14.324939, 120.940955","14.300037, 120.954412",A_transit__U1_d55,optimized_unlisted_all,optimized_unlisted,R-G,R-G,False,True,San Agustin,Alfonso - Tagaytay,Light,Medium,00000,111,111,111111,full,1,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,45.44,23.04,,45.44,mixed,True,7.0,2.0,32.0,june2026,29.18-45.44
06:13:19,10.79,647.6,True,06:02:32,06:02:00,11.32,1,Morning Session,wm_to_rb,waltermart,robinsons,"14.324939, 120.940955","14.324939, 120.940955","14.300037, 120.954412",A_transit__U1_d55,optimized_unlisted_all,optimized_unlisted,R-R,R-R,False,False,San Agustin,Alfonso - Tagaytay,Light,Medium,00000,111,111,111111,full,1,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,45.44,18.09,,45.44,mixed,True,7.0,2.0,32.0,june2026,29.18-45.44
06:12:14,9.7,582.0,True,06:02:32,06:02:00,10.23,1,Morning Session,wm_to_rb,waltermart,robinsons,"14.324939, 120.940955","14.324939, 120.940955","14.300037, 120.954412",A_transit__U2_d55,optimized_unlisted_all,optimized_unlisted,G-G,G-G,True,True,San Agustin,Alfonso - Tagaytay,Light,Medium,00000,111,111,111111,full,2,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,45.44,20.13,,45.44,mixed,True,7.0,2.0,32.0,june2026,29.18-45.44
06:13:50,11.31,678.8,True,06:02:32,06:02:00,11.83,1,Morning Session,wm_to_rb,waltermart,robinsons,"14.324939, 120.940955","14.324939, 120.940955","14.300037, 120.954412",A_transit__U2_d55,optimized_unlisted_all,optimized_unlisted,G-R,G-R,True,False,San Agustin,Alfonso - Tagaytay,Light,Medium,00000,111,111,111111,full,2,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,45.44,17.26,,45.44,mixed,True,7.0,2.0,32.0,june2026,29.18-45.44
