slug,cli_flag,description,expected_rows,tier,output_dir,main_csv,stops_csv
transit_only,--transit-only,"A — all stops, 100% dwell",36,small,C:\Users\Enchong\Downloads\simulation\results_by_mode\transit_only,C:\Users\Enchong\Downloads\simulation\results_by_mode\transit_only\results_per_bus.csv,C:\Users\Enchong\Downloads\simulation\results_by_mode\transit_only\results_per_bus_stop_detail.csv
informal_only,--informal-only,B — informal curbs only,36,small,C:\Users\Enchong\Downloads\simulation\results_by_mode\informal_only,C:\Users\Enchong\Downloads\simulation\results_by_mode\informal_only\results_per_bus.csv,C:\Users\Enchong\Downloads\simulation\results_by_mode\informal_only\results_per_bus_stop_detail.csv
formal_only,--formal-only,C — formal mids only,36,small,C:\Users\Enchong\Downloads\simulation\results_by_mode\formal_only,C:\Users\Enchong\Downloads\simulation\results_by_mode\formal_only\results_per_bus.csv,C:\Users\Enchong\Downloads\simulation\results_by_mode\formal_only\results_per_bus_stop_detail.csv
optimized_only,--optimized-only,"D — formal only, 55% dwell",36,small,C:\Users\Enchong\Downloads\simulation\results_by_mode\optimized_only,C:\Users\Enchong\Downloads\simulation\results_by_mode\optimized_only\results_per_bus.csv,C:\Users\Enchong\Downloads\simulation\results_by_mode\optimized_only\results_per_bus_stop_detail.csv
optimized_transit_only,--optimized-transit-only,"E — all stops, 55% dwell",36,small,C:\Users\Enchong\Downloads\simulation\results_by_mode\optimized_transit_only,C:\Users\Enchong\Downloads\simulation\results_by_mode\optimized_transit_only\results_per_bus.csv,C:\Users\Enchong\Downloads\simulation\results_by_mode\optimized_transit_only\results_per_bus_stop_detail.csv
unlisted_stop_only,--unlisted-stop-only,All stops + 1 unlisted curb,36,small,C:\Users\Enchong\Downloads\simulation\results_by_mode\unlisted_stop_only,C:\Users\Enchong\Downloads\simulation\results_by_mode\unlisted_stop_only\results_per_bus.csv,C:\Users\Enchong\Downloads\simulation\results_by_mode\unlisted_stop_only\results_per_bus_stop_detail.csv
optimized,--optimized,A + E + D (3 policies),108,small,C:\Users\Enchong\Downloads\simulation\results_by_mode\optimized,C:\Users\Enchong\Downloads\simulation\results_by_mode\optimized\results_per_bus.csv,C:\Users\Enchong\Downloads\simulation\results_by_mode\optimized\results_per_bus_stop_detail.csv
policies_only,--policies-only,A–E named policies,180,small,C:\Users\Enchong\Downloads\simulation\results_by_mode\policies_only,C:\Users\Enchong\Downloads\simulation\results_by_mode\policies_only\results_per_bus.csv,C:\Users\Enchong\Downloads\simulation\results_by_mode\policies_only\results_per_bus_stop_detail.csv
unlisted_stop_all,--unlisted-stop-all,"U0, U1, U2 unlisted",108,small,C:\Users\Enchong\Downloads\simulation\results_by_mode\unlisted_stop_all,C:\Users\Enchong\Downloads\simulation\results_by_mode\unlisted_stop_all\results_per_bus.csv,C:\Users\Enchong\Downloads\simulation\results_by_mode\unlisted_stop_all\results_per_bus_stop_detail.csv
optimized_unlisted_stop_all,--optimized-unlisted-stop-all,U0–U2 @ 55%,108,small,C:\Users\Enchong\Downloads\simulation\results_by_mode\optimized_unlisted_stop_all,C:\Users\Enchong\Downloads\simulation\results_by_mode\optimized_unlisted_stop_all\results_per_bus.csv,C:\Users\Enchong\Downloads\simulation\results_by_mode\optimized_unlisted_stop_all\results_per_bus_stop_detail.csv
partial_informal_only,--partial-informal-only,6 partial informal masks,216,small,C:\Users\Enchong\Downloads\simulation\results_by_mode\partial_informal_only,C:\Users\Enchong\Downloads\simulation\results_by_mode\partial_informal_only\results_per_bus.csv,C:\Users\Enchong\Downloads\simulation\results_by_mode\partial_informal_only\results_per_bus_stop_detail.csv
driver_service_only,--driver-service-only,Drop-off / brief stop / unlisted,180,small,C:\Users\Enchong\Downloads\simulation\results_by_mode\driver_service_only,C:\Users\Enchong\Downloads\simulation\results_by_mode\driver_service_only\results_per_bus.csv,C:\Users\Enchong\Downloads\simulation\results_by_mode\driver_service_only\results_per_bus_stop_detail.csv
optimized_informal_all,--optimized-informal-all,8 informal @ 55%,288,medium,C:\Users\Enchong\Downloads\simulation\results_by_mode\optimized_informal_all,C:\Users\Enchong\Downloads\simulation\results_by_mode\optimized_informal_all\results_per_bus.csv,C:\Users\Enchong\Downloads\simulation\results_by_mode\optimized_informal_all\results_per_bus_stop_detail.csv
optimized_formal_all,--optimized-formal-all,8 formal @ 55%,288,medium,C:\Users\Enchong\Downloads\simulation\results_by_mode\optimized_formal_all,C:\Users\Enchong\Downloads\simulation\results_by_mode\optimized_formal_all\results_per_bus.csv,C:\Users\Enchong\Downloads\simulation\results_by_mode\optimized_formal_all\results_per_bus_stop_detail.csv
informal_all,--informal-all,16 informal subsets,576,medium,C:\Users\Enchong\Downloads\simulation\results_by_mode\informal_all,C:\Users\Enchong\Downloads\simulation\results_by_mode\informal_all\results_per_bus.csv,C:\Users\Enchong\Downloads\simulation\results_by_mode\informal_all\results_per_bus_stop_detail.csv
formal_all,--formal-all,16 formal subsets,576,medium,C:\Users\Enchong\Downloads\simulation\results_by_mode\formal_all,C:\Users\Enchong\Downloads\simulation\results_by_mode\formal_all\results_per_bus.csv,C:\Users\Enchong\Downloads\simulation\results_by_mode\formal_all\results_per_bus_stop_detail.csv
