obs_id,session,trip_direction,bus_company,scenario_id,policy,signal_pattern,traffic_condition,crowding_level,stop_sequence,stop_key,stop_label,coordinates,stop_kind,arrived_at_stop_time,dwell_at_stop_s,departed_stop_time,leg_travel_before_stop_s,stop_timeline_source
1,Morning Session,wm_to_rb,San Agustin,A_transit__U1_only,unlisted_informal,G-G,Light,Medium,0,waltermart,Waltermart Dasmariñas (formal bus stop),"14.324939, 120.940955",terminal_formal,06:02:00,32.0,06:02:32,0.0,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,A_transit__U1_only,unlisted_informal,G-G,Light,Medium,1,rcbc,RCBC Bank (informal),"14.322737, 120.941631",informal,06:03:05,16.7,06:03:21,33.3,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,A_transit__U1_only,unlisted_informal,G-G,Light,Medium,2,waltermart_int,Waltermart Dasmariñas Intersection Signal,"14.322364, 120.941649",signal,06:03:28,83.2,06:04:51,7.9,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,A_transit__U1_only,unlisted_informal,G-G,Light,Medium,3,adhoc_unlisted_1,Unlisted informal curb #1 (near Robinsons),,informal,06:05:17,16.7,06:05:33,26.9,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,A_transit__U1_only,unlisted_informal,G-G,Light,Medium,4,vista_mall,Vista Mall Dasmariñas (formal),"14.316870, 120.944150",formal,06:06:18,16.7,06:06:34,45.4,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,A_transit__U1_only,unlisted_informal,G-G,Light,Medium,5,villa_verde,Villa Verde (formal),"14.314900, 120.945000",formal,06:06:41,16.7,06:06:57,7.9,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,A_transit__U1_only,unlisted_informal,G-G,Light,Medium,6,rkp_trading,RKP Trading Corporation (formal),"14.303230, 120.954053",formal,06:09:29,16.7,06:09:45,152.4,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,A_transit__U1_only,unlisted_informal,G-G,Light,Medium,7,pala_pala,Pala-Pala Intersection Signal,"14.302125, 120.954055",signal,06:09:55,83.2,06:11:18,10.8,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,A_transit__U1_only,unlisted_informal,G-G,Light,Medium,8,robinsons,Robinson Place Dasmariñas (formal bus stop),"14.300037, 120.954412",terminal_formal,06:11:47,39.1,06:12:26,29.6,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,A_transit__U1_only,unlisted_informal,G-R,Light,Medium,0,waltermart,Waltermart Dasmariñas (formal bus stop),"14.324939, 120.940955",terminal_formal,06:02:00,32.0,06:02:32,0.0,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,A_transit__U1_only,unlisted_informal,G-R,Light,Medium,1,rcbc,RCBC Bank (informal),"14.322737, 120.941631",informal,06:03:05,16.7,06:03:21,33.3,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,A_transit__U1_only,unlisted_informal,G-R,Light,Medium,2,waltermart_int,Waltermart Dasmariñas Intersection Signal,"14.322364, 120.941649",signal,06:03:28,83.2,06:04:51,7.9,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,A_transit__U1_only,unlisted_informal,G-R,Light,Medium,3,adhoc_unlisted_1,Unlisted informal curb #1 (near Robinsons),,informal,06:05:17,16.7,06:05:33,26.9,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,A_transit__U1_only,unlisted_informal,G-R,Light,Medium,4,vista_mall,Vista Mall Dasmariñas (formal),"14.316870, 120.944150",formal,06:06:18,16.7,06:06:34,45.4,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,A_transit__U1_only,unlisted_informal,G-R,Light,Medium,5,villa_verde,Villa Verde (formal),"14.314900, 120.945000",formal,06:06:41,16.7,06:06:57,7.9,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,A_transit__U1_only,unlisted_informal,G-R,Light,Medium,6,rkp_trading,RKP Trading Corporation (formal),"14.303230, 120.954053",formal,06:09:29,16.7,06:09:45,152.4,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,A_transit__U1_only,unlisted_informal,G-R,Light,Medium,7,pala_pala,Pala-Pala Intersection Signal,"14.302125, 120.954055",signal,06:09:55,180.0,06:12:55,10.8,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,A_transit__U1_only,unlisted_informal,G-R,Light,Medium,8,robinsons,Robinson Place Dasmariñas (formal bus stop),"14.300037, 120.954412",terminal_formal,06:13:24,39.1,06:14:03,29.6,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,A_transit__U1_only,unlisted_informal,R-G,Light,Medium,0,waltermart,Waltermart Dasmariñas (formal bus stop),"14.324939, 120.940955",terminal_formal,06:02:00,17.6,06:02:17,0.0,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,A_transit__U1_only,unlisted_informal,R-G,Light,Medium,1,rcbc,RCBC Bank (informal),"14.322737, 120.941631",informal,06:02:50,9.2,06:02:59,33.2,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,A_transit__U1_only,unlisted_informal,R-G,Light,Medium,2,waltermart_int,Waltermart Dasmariñas Intersection Signal,"14.322364, 120.941649",signal,06:03:06,60.0,06:04:06,7.9,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,A_transit__U1_only,unlisted_informal,R-G,Light,Medium,3,adhoc_unlisted_1,Unlisted informal curb #1 (near Robinsons),,informal,06:04:32,9.2,06:04:41,26.9,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,A_transit__U1_only,unlisted_informal,R-G,Light,Medium,4,vista_mall,Vista Mall Dasmariñas (formal),"14.316870, 120.944150",formal,06:05:26,9.2,06:05:35,45.4,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,A_transit__U1_only,unlisted_informal,R-G,Light,Medium,5,villa_verde,Villa Verde (formal),"14.314900, 120.945000",formal,06:05:42,9.2,06:05:51,7.9,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,A_transit__U1_only,unlisted_informal,R-G,Light,Medium,6,rkp_trading,RKP Trading Corporation (formal),"14.303230, 120.954053",formal,06:08:23,9.2,06:08:32,152.4,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,A_transit__U1_only,unlisted_informal,R-G,Light,Medium,7,pala_pala,Pala-Pala Intersection Signal,"14.302125, 120.954055",signal,06:08:42,83.2,06:10:05,10.8,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,A_transit__U1_only,unlisted_informal,R-G,Light,Medium,8,robinsons,Robinson Place Dasmariñas (formal bus stop),"14.300037, 120.954412",terminal_formal,06:10:34,21.6,06:10:55,29.6,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,A_transit__U1_only,unlisted_informal,R-R,Light,Medium,0,waltermart,Waltermart Dasmariñas (formal bus stop),"14.324939, 120.940955",terminal_formal,06:02:00,32.0,06:02:32,0.0,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,A_transit__U1_only,unlisted_informal,R-R,Light,Medium,1,rcbc,RCBC Bank (informal),"14.322737, 120.941631",informal,06:03:05,16.7,06:03:21,33.2,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,A_transit__U1_only,unlisted_informal,R-R,Light,Medium,2,waltermart_int,Waltermart Dasmariñas Intersection Signal,"14.322364, 120.941649",signal,06:03:28,60.0,06:04:28,7.9,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,A_transit__U1_only,unlisted_informal,R-R,Light,Medium,3,adhoc_unlisted_1,Unlisted informal curb #1 (near Robinsons),,informal,06:04:54,16.7,06:05:10,26.9,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,A_transit__U1_only,unlisted_informal,R-R,Light,Medium,4,vista_mall,Vista Mall Dasmariñas (formal),"14.316870, 120.944150",formal,06:05:55,16.7,06:06:11,45.4,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,A_transit__U1_only,unlisted_informal,R-R,Light,Medium,5,villa_verde,Villa Verde (formal),"14.314900, 120.945000",formal,06:06:18,16.7,06:06:34,7.9,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,A_transit__U1_only,unlisted_informal,R-R,Light,Medium,6,rkp_trading,RKP Trading Corporation (formal),"14.303230, 120.954053",formal,06:09:06,16.7,06:09:22,152.4,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,A_transit__U1_only,unlisted_informal,R-R,Light,Medium,7,pala_pala,Pala-Pala Intersection Signal,"14.302125, 120.954055",signal,06:09:32,180.0,06:12:32,10.8,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,A_transit__U1_only,unlisted_informal,R-R,Light,Medium,8,robinsons,Robinson Place Dasmariñas (formal bus stop),"14.300037, 120.954412",terminal_formal,06:13:01,39.1,06:13:40,29.6,schedule_aligned_to_uxsim_e2e
2,Lunch,rb_to_wm,San Agustin,A_transit__U1_only,unlisted_informal,G-G,Moderate,Low,0,korean_grocery,Informal stop (Korean grocery),"14.300720, 120.954320",informal,12:18:00,33.0,12:18:32,0.0,schedule_aligned_to_uxsim_e2e
2,Lunch,rb_to_wm,San Agustin,A_transit__U1_only,unlisted_informal,G-G,Moderate,Low,1,pala_pala,Pala-Pala Intersection Signal,"14.302125, 120.954055",signal,12:18:50,105.8,12:20:35,18.8,schedule_aligned_to_uxsim_e2e
2,Lunch,rb_to_wm,San Agustin,A_transit__U1_only,unlisted_informal,G-G,Moderate,Low,2,seven_eleven,7-Eleven Pala Pala (informal),"14.301972, 120.954139",informal,12:20:43,17.3,12:21:00,8.5,schedule_aligned_to_uxsim_e2e
2,Lunch,rb_to_wm,San Agustin,A_transit__U1_only,unlisted_informal,G-G,Moderate,Low,3,rkp_trading,RKP Trading Corporation (formal),"14.303230, 120.954053",formal,12:21:08,19.4,12:21:27,8.5,schedule_aligned_to_uxsim_e2e
2,Lunch,rb_to_wm,San Agustin,A_transit__U1_only,unlisted_informal,G-G,Moderate,Low,4,adhoc_unlisted_1,Unlisted informal curb #1 (near Robinsons),,informal,12:21:46,17.3,12:22:03,19.6,schedule_aligned_to_uxsim_e2e
2,Lunch,rb_to_wm,San Agustin,A_transit__U1_only,unlisted_informal,G-G,Moderate,Low,5,villa_verde,Villa Verde (formal),"14.314900, 120.945000",formal,12:25:39,19.4,12:25:58,216.3,schedule_aligned_to_uxsim_e2e
2,Lunch,rb_to_wm,San Agustin,A_transit__U1_only,unlisted_informal,G-G,Moderate,Low,6,vista_mall,Vista Mall Dasmariñas (formal),"14.316870, 120.944150",formal,12:26:06,19.4,12:26:25,8.5,schedule_aligned_to_uxsim_e2e
2,Lunch,rb_to_wm,San Agustin,A_transit__U1_only,unlisted_informal,G-G,Moderate,Low,7,waltermart_int,Waltermart Dasmariñas Intersection Signal,"14.322364, 120.941649",signal,12:27:55,105.8,12:29:40,90.9,schedule_aligned_to_uxsim_e2e
2,Lunch,rb_to_wm,San Agustin,A_transit__U1_only,unlisted_informal,G-G,Moderate,Low,8,rcbc,RCBC Bank (informal),"14.322737, 120.941631",informal,12:29:48,17.3,12:30:05,8.5,schedule_aligned_to_uxsim_e2e
2,Lunch,rb_to_wm,San Agustin,A_transit__U1_only,unlisted_informal,G-G,Moderate,Low,9,waltermart,Waltermart Dasmariñas (formal bus stop),"14.324939, 120.940955",terminal_formal,12:30:40,33.0,12:31:12,35.9,schedule_aligned_to_uxsim_e2e
2,Lunch,rb_to_wm,San Agustin,A_transit__U1_only,unlisted_informal,G-R,Moderate,Low,0,korean_grocery,Informal stop (Korean grocery),"14.300720, 120.954320",informal,12:18:00,18.2,12:18:18,0.0,schedule_aligned_to_uxsim_e2e
2,Lunch,rb_to_wm,San Agustin,A_transit__U1_only,unlisted_informal,G-R,Moderate,Low,1,pala_pala,Pala-Pala Intersection Signal,"14.302125, 120.954055",signal,12:18:36,105.8,12:20:21,18.8,schedule_aligned_to_uxsim_e2e
2,Lunch,rb_to_wm,San Agustin,A_transit__U1_only,unlisted_informal,G-R,Moderate,Low,2,seven_eleven,7-Eleven Pala Pala (informal),"14.301972, 120.954139",informal,12:20:29,9.5,12:20:38,8.5,schedule_aligned_to_uxsim_e2e
2,Lunch,rb_to_wm,San Agustin,A_transit__U1_only,unlisted_informal,G-R,Moderate,Low,3,rkp_trading,RKP Trading Corporation (formal),"14.303230, 120.954053",formal,12:20:46,10.7,12:20:56,8.5,schedule_aligned_to_uxsim_e2e
2,Lunch,rb_to_wm,San Agustin,A_transit__U1_only,unlisted_informal,G-R,Moderate,Low,4,adhoc_unlisted_1,Unlisted informal curb #1 (near Robinsons),,informal,12:21:15,9.5,12:21:24,19.6,schedule_aligned_to_uxsim_e2e
2,Lunch,rb_to_wm,San Agustin,A_transit__U1_only,unlisted_informal,G-R,Moderate,Low,5,villa_verde,Villa Verde (formal),"14.314900, 120.945000",formal,12:25:00,10.7,12:25:10,216.3,schedule_aligned_to_uxsim_e2e
2,Lunch,rb_to_wm,San Agustin,A_transit__U1_only,unlisted_informal,G-R,Moderate,Low,6,vista_mall,Vista Mall Dasmariñas (formal),"14.316870, 120.944150",formal,12:25:18,10.7,12:25:28,8.5,schedule_aligned_to_uxsim_e2e
2,Lunch,rb_to_wm,San Agustin,A_transit__U1_only,unlisted_informal,G-R,Moderate,Low,7,waltermart_int,Waltermart Dasmariñas Intersection Signal,"14.322364, 120.941649",signal,12:26:58,74.8,12:28:12,90.9,schedule_aligned_to_uxsim_e2e
2,Lunch,rb_to_wm,San Agustin,A_transit__U1_only,unlisted_informal,G-R,Moderate,Low,8,rcbc,RCBC Bank (informal),"14.322737, 120.941631",informal,12:28:20,9.5,12:28:29,8.5,schedule_aligned_to_uxsim_e2e
2,Lunch,rb_to_wm,San Agustin,A_transit__U1_only,unlisted_informal,G-R,Moderate,Low,9,waltermart,Waltermart Dasmariñas (formal bus stop),"14.324939, 120.940955",terminal_formal,12:29:04,18.2,12:29:22,35.9,schedule_aligned_to_uxsim_e2e
2,Lunch,rb_to_wm,San Agustin,A_transit__U1_only,unlisted_informal,R-G,Moderate,Low,0,korean_grocery,Informal stop (Korean grocery),"14.300720, 120.954320",informal,12:18:00,33.0,12:18:32,0.0,schedule_aligned_to_uxsim_e2e
2,Lunch,rb_to_wm,San Agustin,A_transit__U1_only,unlisted_informal,R-G,Moderate,Low,1,pala_pala,Pala-Pala Intersection Signal,"14.302125, 120.954055",signal,12:18:50,199.8,12:22:09,18.8,schedule_aligned_to_uxsim_e2e
2,Lunch,rb_to_wm,San Agustin,A_transit__U1_only,unlisted_informal,R-G,Moderate,Low,2,seven_eleven,7-Eleven Pala Pala (informal),"14.301972, 120.954139",informal,12:22:17,17.3,12:22:34,8.5,schedule_aligned_to_uxsim_e2e
2,Lunch,rb_to_wm,San Agustin,A_transit__U1_only,unlisted_informal,R-G,Moderate,Low,3,rkp_trading,RKP Trading Corporation (formal),"14.303230, 120.954053",formal,12:22:42,19.4,12:23:01,8.5,schedule_aligned_to_uxsim_e2e
2,Lunch,rb_to_wm,San Agustin,A_transit__U1_only,unlisted_informal,R-G,Moderate,Low,4,adhoc_unlisted_1,Unlisted informal curb #1 (near Robinsons),,informal,12:23:20,17.3,12:23:37,19.6,schedule_aligned_to_uxsim_e2e
2,Lunch,rb_to_wm,San Agustin,A_transit__U1_only,unlisted_informal,R-G,Moderate,Low,5,villa_verde,Villa Verde (formal),"14.314900, 120.945000",formal,12:27:13,19.4,12:27:32,216.3,schedule_aligned_to_uxsim_e2e
2,Lunch,rb_to_wm,San Agustin,A_transit__U1_only,unlisted_informal,R-G,Moderate,Low,6,vista_mall,Vista Mall Dasmariñas (formal),"14.316870, 120.944150",formal,12:27:40,19.4,12:27:59,8.5,schedule_aligned_to_uxsim_e2e
2,Lunch,rb_to_wm,San Agustin,A_transit__U1_only,unlisted_informal,R-G,Moderate,Low,7,waltermart_int,Waltermart Dasmariñas Intersection Signal,"14.322364, 120.941649",signal,12:29:29,105.8,12:31:14,90.9,schedule_aligned_to_uxsim_e2e
2,Lunch,rb_to_wm,San Agustin,A_transit__U1_only,unlisted_informal,R-G,Moderate,Low,8,rcbc,RCBC Bank (informal),"14.322737, 120.941631",informal,12:31:22,17.3,12:31:39,8.5,schedule_aligned_to_uxsim_e2e
2,Lunch,rb_to_wm,San Agustin,A_transit__U1_only,unlisted_informal,R-G,Moderate,Low,9,waltermart,Waltermart Dasmariñas (formal bus stop),"14.324939, 120.940955",terminal_formal,12:32:14,33.0,12:32:46,35.9,schedule_aligned_to_uxsim_e2e
2,Lunch,rb_to_wm,San Agustin,A_transit__U1_only,unlisted_informal,R-R,Moderate,Low,0,korean_grocery,Informal stop (Korean grocery),"14.300720, 120.954320",informal,12:18:00,33.0,12:18:32,0.0,schedule_aligned_to_uxsim_e2e
2,Lunch,rb_to_wm,San Agustin,A_transit__U1_only,unlisted_informal,R-R,Moderate,Low,1,pala_pala,Pala-Pala Intersection Signal,"14.302125, 120.954055",signal,12:18:50,199.8,12:22:09,18.8,schedule_aligned_to_uxsim_e2e
2,Lunch,rb_to_wm,San Agustin,A_transit__U1_only,unlisted_informal,R-R,Moderate,Low,2,seven_eleven,7-Eleven Pala Pala (informal),"14.301972, 120.954139",informal,12:22:17,17.3,12:22:34,8.5,schedule_aligned_to_uxsim_e2e
2,Lunch,rb_to_wm,San Agustin,A_transit__U1_only,unlisted_informal,R-R,Moderate,Low,3,rkp_trading,RKP Trading Corporation (formal),"14.303230, 120.954053",formal,12:22:42,19.4,12:23:01,8.5,schedule_aligned_to_uxsim_e2e
2,Lunch,rb_to_wm,San Agustin,A_transit__U1_only,unlisted_informal,R-R,Moderate,Low,4,adhoc_unlisted_1,Unlisted informal curb #1 (near Robinsons),,informal,12:23:20,17.3,12:23:37,19.6,schedule_aligned_to_uxsim_e2e
2,Lunch,rb_to_wm,San Agustin,A_transit__U1_only,unlisted_informal,R-R,Moderate,Low,5,villa_verde,Villa Verde (formal),"14.314900, 120.945000",formal,12:27:13,19.4,12:27:32,216.3,schedule_aligned_to_uxsim_e2e
2,Lunch,rb_to_wm,San Agustin,A_transit__U1_only,unlisted_informal,R-R,Moderate,Low,6,vista_mall,Vista Mall Dasmariñas (formal),"14.316870, 120.944150",formal,12:27:40,19.4,12:27:59,8.5,schedule_aligned_to_uxsim_e2e
2,Lunch,rb_to_wm,San Agustin,A_transit__U1_only,unlisted_informal,R-R,Moderate,Low,7,waltermart_int,Waltermart Dasmariñas Intersection Signal,"14.322364, 120.941649",signal,12:29:29,74.8,12:30:43,90.9,schedule_aligned_to_uxsim_e2e
2,Lunch,rb_to_wm,San Agustin,A_transit__U1_only,unlisted_informal,R-R,Moderate,Low,8,rcbc,RCBC Bank (informal),"14.322737, 120.941631",informal,12:30:51,17.3,12:31:08,8.5,schedule_aligned_to_uxsim_e2e
2,Lunch,rb_to_wm,San Agustin,A_transit__U1_only,unlisted_informal,R-R,Moderate,Low,9,waltermart,Waltermart Dasmariñas (formal bus stop),"14.324939, 120.940955",terminal_formal,12:31:43,33.0,12:32:15,35.9,schedule_aligned_to_uxsim_e2e
3,Afternoon Session,rb_to_wm,San Agustin,A_transit__U1_only,unlisted_informal,G-G,Heavy,Medium,0,korean_grocery,Informal stop (Korean grocery),"14.300720, 120.954320",informal,16:22:00,15.0,16:22:15,0.0,schedule_aligned_to_uxsim_e2e
3,Afternoon Session,rb_to_wm,San Agustin,A_transit__U1_only,unlisted_informal,G-G,Heavy,Medium,1,pala_pala,Pala-Pala Intersection Signal,"14.302125, 120.954055",signal,16:22:39,330.3,16:28:09,24.9,schedule_aligned_to_uxsim_e2e
3,Afternoon Session,rb_to_wm,San Agustin,A_transit__U1_only,unlisted_informal,G-G,Heavy,Medium,2,seven_eleven,7-Eleven Pala Pala (informal),"14.301972, 120.954139",informal,16:28:20,63.5,16:29:23,11.3,schedule_aligned_to_uxsim_e2e
3,Afternoon Session,rb_to_wm,San Agustin,A_transit__U1_only,unlisted_informal,G-G,Heavy,Medium,3,rkp_trading,RKP Trading Corporation (formal),"14.303230, 120.954053",formal,16:29:34,63.5,16:30:37,11.3,schedule_aligned_to_uxsim_e2e
3,Afternoon Session,rb_to_wm,San Agustin,A_transit__U1_only,unlisted_informal,G-G,Heavy,Medium,4,adhoc_unlisted_1,Unlisted informal curb #1 (near Robinsons),,informal,16:31:02,63.5,16:32:05,26.0,schedule_aligned_to_uxsim_e2e
3,Afternoon Session,rb_to_wm,San Agustin,A_transit__U1_only,unlisted_informal,G-G,Heavy,Medium,5,villa_verde,Villa Verde (formal),"14.314900, 120.945000",formal,16:36:51,63.5,16:37:54,286.5,schedule_aligned_to_uxsim_e2e
3,Afternoon Session,rb_to_wm,San Agustin,A_transit__U1_only,unlisted_informal,G-G,Heavy,Medium,6,vista_mall,Vista Mall Dasmariñas (formal),"14.316870, 120.944150",formal,16:38:05,63.5,16:39:08,11.3,schedule_aligned_to_uxsim_e2e
3,Afternoon Session,rb_to_wm,San Agustin,A_transit__U1_only,unlisted_informal,G-G,Heavy,Medium,7,waltermart_int,Waltermart Dasmariñas Intersection Signal,"14.322364, 120.941649",signal,16:41:08,330.3,16:46:38,120.4,schedule_aligned_to_uxsim_e2e
3,Afternoon Session,rb_to_wm,San Agustin,A_transit__U1_only,unlisted_informal,G-G,Heavy,Medium,8,rcbc,RCBC Bank (informal),"14.322737, 120.941631",informal,16:46:49,63.5,16:47:52,11.3,schedule_aligned_to_uxsim_e2e
3,Afternoon Session,rb_to_wm,San Agustin,A_transit__U1_only,unlisted_informal,G-G,Heavy,Medium,9,waltermart,Waltermart Dasmariñas (formal bus stop),"14.324939, 120.940955",terminal_formal,16:48:39,63.5,16:49:42,47.5,schedule_aligned_to_uxsim_e2e
3,Afternoon Session,rb_to_wm,San Agustin,A_transit__U1_only,unlisted_informal,G-R,Heavy,Medium,0,korean_grocery,Informal stop (Korean grocery),"14.300720, 120.954320",informal,16:22:00,15.0,16:22:15,0.0,schedule_aligned_to_uxsim_e2e
3,Afternoon Session,rb_to_wm,San Agustin,A_transit__U1_only,unlisted_informal,G-R,Heavy,Medium,1,pala_pala,Pala-Pala Intersection Signal,"14.302125, 120.954055",signal,16:22:47,330.3,16:28:17,32.7,schedule_aligned_to_uxsim_e2e
3,Afternoon Session,rb_to_wm,San Agustin,A_transit__U1_only,unlisted_informal,G-R,Heavy,Medium,2,seven_eleven,7-Eleven Pala Pala (informal),"14.301972, 120.954139",informal,16:28:31,63.5,16:29:34,14.8,schedule_aligned_to_uxsim_e2e
3,Afternoon Session,rb_to_wm,San Agustin,A_transit__U1_only,unlisted_informal,G-R,Heavy,Medium,3,rkp_trading,RKP Trading Corporation (formal),"14.303230, 120.954053",formal,16:29:48,63.5,16:30:51,14.8,schedule_aligned_to_uxsim_e2e
3,Afternoon Session,rb_to_wm,San Agustin,A_transit__U1_only,unlisted_informal,G-R,Heavy,Medium,4,adhoc_unlisted_1,Unlisted informal curb #1 (near Robinsons),,informal,16:31:25,63.5,16:32:28,34.1,schedule_aligned_to_uxsim_e2e
