session,data_origin,policy,informal_stops,short_dwell_scale,signal_scenario,n_signal_encounters,encounter_pattern,signal_offset_s,wm_to_rb_demand_shift_s,mixed_traffic,vol_rb_to_wm,vol_wm_to_rb,n_rows_calibration_subset,demand_window_s,demand_window_capped,avg_travel_time_s,avg_delay_s,delay_ratio,completed_trips,total_trips,total_distance_m,avg_speed_mps,encounter_1_green,encounter_2_green,encounter_3_green,extra_rb_to_wm_shifts_s
Morning Session,robinsons_location,baseline_all_stops,True,,enc_G_G_G,3,G-G-G,45.0,40.0,True,138,57,138,3480.0,False,246.66,25.87,0.1049,1555,1555,5434840.0,14.17,True,True,True,25.0
Morning Session,robinsons_location,baseline_all_stops,True,,enc_G_G_R,3,G-G-R,45.0,40.0,True,138,57,138,3480.0,False,246.72,25.93,0.1051,1555,1555,5434840.0,14.166,True,True,False,0.0
Morning Session,robinsons_location,baseline_all_stops,True,,enc_G_R_G,3,G-R-G,45.0,0.0,True,138,57,138,3480.0,False,247.09,26.3,0.1064,1555,1555,5434840.0,14.145,True,False,True,25.0
Morning Session,robinsons_location,baseline_all_stops,True,,enc_G_R_R,3,G-R-R,45.0,0.0,True,138,57,138,3480.0,False,246.38,25.59,0.1039,1555,1555,5434840.0,14.186,True,False,False,0.0
Morning Session,robinsons_location,baseline_all_stops,True,,enc_R_G_G,3,R-G-G,0.0,0.0,True,138,57,138,3480.0,False,244.6,23.81,0.0973,1555,1555,5434840.0,14.289,False,True,True,0.0
Morning Session,robinsons_location,baseline_all_stops,True,,enc_R_G_R,3,R-G-R,0.0,0.0,True,138,57,138,3480.0,False,246.32,25.53,0.1036,1555,1555,5434840.0,14.189,False,True,False,25.0
Morning Session,robinsons_location,baseline_all_stops,True,,enc_R_R_G,3,R-R-G,0.0,40.0,True,138,57,138,3480.0,False,244.84,24.05,0.0982,1555,1555,5434840.0,14.275,False,False,True,0.0
Morning Session,robinsons_location,baseline_all_stops,True,,enc_R_R_R,3,R-R-R,0.0,40.0,True,138,57,138,3480.0,False,245.11,24.32,0.0992,1555,1555,5434840.0,14.259,False,False,False,25.0
Morning Session,robinsons_location,optimized_formal_only,False,,enc_G_G_G,3,G-G-G,45.0,40.0,True,138,57,138,3480.0,False,232.94,24.15,0.1037,1555,1555,5123840.0,14.145,True,True,True,25.0
Morning Session,robinsons_location,optimized_formal_only,False,,enc_G_G_R,3,G-G-R,45.0,40.0,True,138,57,138,3480.0,False,233.18,24.39,0.1046,1555,1555,5123840.0,14.131,True,True,False,0.0
Morning Session,robinsons_location,optimized_formal_only,False,,enc_G_R_G,3,G-R-G,45.0,0.0,True,138,57,138,3480.0,False,233.15,24.36,0.1045,1555,1555,5123840.0,14.133,True,False,True,25.0
Morning Session,robinsons_location,optimized_formal_only,False,,enc_G_R_R,3,G-R-R,45.0,0.0,True,138,57,138,3480.0,False,232.67,23.88,0.1026,1555,1555,5123840.0,14.162,True,False,False,0.0
Morning Session,robinsons_location,optimized_formal_only,False,,enc_R_G_G,3,R-G-G,0.0,0.0,True,138,57,138,3480.0,False,230.77,21.98,0.0952,1555,1555,5123840.0,14.279,False,True,True,0.0
Morning Session,robinsons_location,optimized_formal_only,False,,enc_R_G_R,3,R-G-R,0.0,0.0,True,138,57,138,3480.0,False,231.88,23.09,0.0996,1555,1555,5123840.0,14.21,False,True,False,25.0
Morning Session,robinsons_location,optimized_formal_only,False,,enc_R_R_G,3,R-R-G,0.0,40.0,True,138,57,138,3480.0,False,230.95,22.16,0.0959,1555,1555,5123840.0,14.268,False,False,True,0.0
Morning Session,robinsons_location,optimized_formal_only,False,,enc_R_R_R,3,R-R-R,0.0,40.0,True,138,57,138,3480.0,False,231.3,22.51,0.0973,1555,1555,5123840.0,14.246,False,False,False,25.0
Morning Session,waltermart_location,baseline_all_stops,True,,enc_G_G_G,3,G-G-G,45.0,40.0,True,138,57,57,3840.0,False,244.82,24.07,0.0983,1560,1560,5452280.0,14.276,True,True,True,25.0
Morning Session,waltermart_location,baseline_all_stops,True,,enc_G_G_R,3,G-G-R,45.0,40.0,True,138,57,57,3840.0,False,244.58,23.83,0.0974,1560,1560,5452280.0,14.29,True,True,False,0.0
Morning Session,waltermart_location,baseline_all_stops,True,,enc_G_R_G,3,G-R-G,45.0,0.0,True,138,57,57,3840.0,False,244.5,23.75,0.0971,1560,1560,5452280.0,14.295,True,False,True,25.0
Morning Session,waltermart_location,baseline_all_stops,True,,enc_G_R_R,3,G-R-R,45.0,0.0,True,138,57,57,3840.0,False,244.01,23.25,0.0953,1560,1560,5452280.0,14.324,True,False,False,0.0
Morning Session,waltermart_location,baseline_all_stops,True,,enc_R_G_G,3,R-G-G,0.0,0.0,True,138,57,57,3840.0,False,245.46,24.71,0.1007,1560,1560,5452280.0,14.239,False,True,True,0.0
Morning Session,waltermart_location,baseline_all_stops,True,,enc_R_G_R,3,R-G-R,0.0,0.0,True,138,57,57,3840.0,False,245.24,24.49,0.0999,1560,1560,5452280.0,14.252,False,True,False,25.0
Morning Session,waltermart_location,baseline_all_stops,True,,enc_R_R_G,3,R-R-G,0.0,40.0,True,138,57,57,3840.0,False,245.06,24.31,0.0992,1560,1560,5452280.0,14.262,False,False,True,0.0
Morning Session,waltermart_location,baseline_all_stops,True,,enc_R_R_R,3,R-R-R,0.0,40.0,True,138,57,57,3840.0,False,245.3,24.55,0.1001,1560,1560,5452280.0,14.248,False,False,False,25.0
Morning Session,waltermart_location,optimized_formal_only,False,0.55,enc_G_G_G,3,G-G-G,45.0,40.0,True,138,57,57,3840.0,False,225.43,21.86,0.097,1560,1560,5140280.0,14.617,True,True,True,25.0
Morning Session,waltermart_location,optimized_formal_only,False,0.55,enc_G_G_R,3,G-G-R,45.0,40.0,True,138,57,57,3840.0,False,225.14,21.57,0.0958,1560,1560,5140280.0,14.635,True,True,False,0.0
Morning Session,waltermart_location,optimized_formal_only,False,0.55,enc_G_R_G,3,G-R-G,45.0,0.0,True,138,57,57,3840.0,False,225.1,21.52,0.0956,1560,1560,5140280.0,14.638,True,False,True,25.0
Morning Session,waltermart_location,optimized_formal_only,False,0.55,enc_G_R_R,3,G-R-R,45.0,0.0,True,138,57,57,3840.0,False,224.39,20.82,0.0928,1560,1560,5140280.0,14.684,True,False,False,0.0
